LASK,LBID,NEWDAY,PCHANGE,PCHANGE0,RETURN,SIGN_VOL,VOLUME,INDICATOR
3.815071479,3.813748436,0,1,2,0,-4.605170186,100,-1
3.815512105,3.813527759,0,0,0,0.000110248,-4.605170186,100,-1
3.812644561,3.811760583,0,0,0,-0.002317754,4.605170186,100,1
3.811760583,3.811318301,0,1,1,-0.000663203,4.605170186,100,1
3.811760583,3.811318301,0,1,1,0,4.605170186,100,1
3.811760583,3.811318301,0,1,1,0,5.298317367,200,1
3.811760583,3.811318301,0,1,1,0,5.298317367,200,1
3.811760583,3.811318301,0,1,1,0,4.605170186,100,1
3.811760583,3.811318301,0,0,0,0,4.605170186,100,1
3.811539467,3.810654511,0,0,0,-0.00044238,5.298317367,200,1
3.811318301,3.810654511,0,0,0,-0.000110626,-4.605170186,100,-1
3.810654511,3.810211739,0,0,0,-0.000553312,4.605170186,100,1
3.810654511,3.809768771,0,0,0,-0.00022141,4.605170186,100,1
3.81043315,3.809768771,0,0,0,-0.000110724,4.605170186,100,1
3.81043315,3.809325607,0,1,1,-0.000221484,-4.605170186,100,-1
3.81043315,3.809325607,0,0,0,0,-4.605170186,100,-1
3.81043315,3.809103951,0,1,2,-0.00011076,4.605170186,100,1
3.811539467,3.809768771,0,0,0,0.00088574,-4.605170186,100,-1
3.811539467,3.809547214,0,1,1,-0.000110675,-4.605170186,100,-1
3.811539467,3.809547214,0,1,1,0,-4.605170186,100,-1
3.811539467,3.809547214,0,1,2,0,-4.605170186,100,-1
3.812644561,3.81043315,0,1,2,0.00099563,-5.991464547,400,-1
3.812644561,3.810875823,0,0,0,0.000221117,-4.605170186,100,-1
3.809547214,3.809325607,0,0,0,-0.002324167,5.298317367,200,1
3.809547214,3.808660492,0,1,2,-0.000332465,4.605170186,100,1
3.810211739,3.808438689,0,1,2,0.000221656,4.605170186,100,1
3.811097087,3.808660492,0,1,2,0.000553925,4.605170186,100,1
3.811981651,3.810211739,0,1,2,0.001217555,4.605170186,100,1
3.812644561,3.810211739,0,0,0,0.000331803,4.605170186,100,1
3.81220267,3.810211739,0,0,0,-0.00022119,4.605170186,100,1
3.811539467,3.810211739,0,0,0,-0.000331877,-4.605170186,100,-1
3.811539467,3.809547214,0,1,2,-0.000331987,4.605170186,100,1
3.811539467,3.810211739,0,0,0,0.000331987,-4.605170186,100,-1
3.81043315,3.809547214,0,0,0,-0.000885544,-4.605170186,100,-1
3.80999028,3.809547214,0,0,0,-0.000221508,4.605170186,100,1
3.810211739,3.808660492,0,0,0,-0.000332355,4.605170186,100,1
3.809768771,3.808660492,0,0,0,-0.000221631,4.605170186,100,1
3.808438689,3.808216837,0,1,2,-0.000887016,4.605170186,100,1
3.809103951,3.808216837,0,1,1,0.000332723,-4.605170186,100,-1
3.809325607,3.807994935,0,0,0,0,-4.605170186,100,-1
3.808660492,3.807772984,0,1,1,-0.000443656,4.605170186,100,1
3.808660492,3.807772984,0,1,1,0,4.605170186,100,1
3.808660492,3.807772984,0,1,2,0,4.605170186,100,1
3.809547214,3.808216837,0,0,0,0.00066541,-4.605170186,100,-1
3.808438689,3.807550984,0,1,1,-0.000887312,4.605170186,100,1
3.808438689,3.807550984,0,0,0,0,4.605170186,100,1
3.808438689,3.807106835,0,1,2,-0.000221951,-4.605170186,100,-1
3.809325607,3.807106835,0,0,0,0.000443853,4.605170186,100,1
3.808438689,3.807328934,0,0,0,-0.000332871,-4.605170186,100,-1
3.808438689,3.807106835,0,0,0,-0.000110982,-4.605170186,100,-1
3.808438689,3.80666249,0,0,0,-0.000222,-4.605170186,100,-1
3.80666249,3.805773206,0,0,0,-0.001333037,-4.605170186,100,-1
3.805995601,3.805550761,0,0,0,-0.000444741,-5.703782475,300,-1
3.805773206,3.805550761,0,1,2,-0.000111216,-5.298317367,200,-1
3.806884687,3.805550761,0,1,2,0.000555957,-4.605170186,100,-1
3.806884687,3.805995601,0,0,0,0.000222296,-4.605170186,100,-1
3.80666249,3.805995601,0,0,0,-0.000111142,-4.605170186,100,-1
3.806217947,3.805550761,0,1,1,-0.000444692,4.605170186,100,1
3.806217947,3.805550761,0,1,2,0,4.605170186,100,1
3.80666249,3.805550761,0,1,2,0.00022237,-4.605170186,100,-1
3.80666249,3.805773206,0,0,0,0.000111167,-4.605170186,100,-1
3.80666249,3.805550761,0,0,0,-0.000111167,-4.605170186,100,-1
3.805995601,3.805550761,0,1,1,-0.000333574,-4.605170186,100,-1
3.805995601,3.805550761,0,0,0,0,-4.605170186,100,-1
3.805773206,3.80488313,0,1,1,-0.000444939,4.605170186,100,1
3.805773206,3.80488313,0,1,1,0,5.298317367,200,1
3.805773206,3.80488313,0,1,1,0,5.298317367,200,1
3.805773206,3.80488313,0,1,2,0,4.605170186,100,1
3.805773206,3.805105723,0,0,0,0.000111253,-5.703782475,300,-1
3.805328267,3.805105723,0,1,1,-0.000222519,-5.298317367,200,-1
3.805328267,3.805105723,0,1,1,0,-4.605170186,100,-1
3.805328267,3.805105723,0,1,2,0,5.703782475,300,1
3.806440243,3.805105723,0,1,2,0.000556204,-5.991464547,400,-1
3.806217947,3.805773206,0,1,2,0.000222395,-4.605170186,100,-1
3.807328934,3.805995601,0,0,0,0.000666889,-4.605170186,100,-1
3.80666249,3.806217947,0,1,1,-0.000222247,4.605170186,100,1
3.80666249,3.806217947,0,1,1,0,-4.605170186,100,-1
3.80666249,3.806217947,0,1,1,0,4.605170186,100,1
3.80666249,3.806217947,0,0,0,0,-4.605170186,100,-1
3.806217947,3.805105723,0,1,1,-0.000778253,4.605170186,100,1
3.806217947,3.805105723,0,1,2,0,4.605170186,100,1
3.807328934,3.80488313,0,0,0,0.00044479,-4.605170186,100,-1
3.805995601,3.805773206,0,0,0,-0.00022237,5.298317367,200,1
3.805995601,3.805105723,0,1,1,-0.000333648,4.605170186,100,1
3.805773206,3.805328267,0,0,0,0,-4.605170186,100,-1
3.805773206,3.804660487,0,0,0,-0.00033376,4.605170186,100,1
3.804215053,3.80376942,0,1,1,-0.00122474,4.605170186,100,1
3.804215053,3.80376942,0,0,0,0,-4.605170186,100,-1
3.804215053,3.803100598,0,0,0,-0.00033428,4.605170186,100,1
3.803992261,3.802654468,0,1,1,-0.000334392,4.605170186,100,1
3.804215053,3.802431329,0,1,1,0,-4.605170186,100,-1
3.804215053,3.802431329,0,0,0,0,-4.605170186,100,-1
3.802877558,3.801761611,0,1,2,-0.001003848,4.605170186,100,1
3.803546529,3.802431329,0,1,1,0.000669344,-4.605170186,100,-1
3.803546529,3.802431329,0,1,1,0,-4.605170186,100,-1
3.803546529,3.802431329,0,1,1,0,-4.605170186,100,-1
3.803546529,3.802431329,0,1,1,0,-4.605170186,100,-1
3.803546529,3.802431329,0,1,1,0,-4.605170186,100,-1
3.803546529,3.802431329,0,0,0,0,-4.605170186,100,-1
3.803323589,3.801538272,0,0,0,-0.000557756,4.605170186,100,1
3.802877558,3.800644417,0,1,1,-0.000669718,-4.605170186,100,-1
3.802877558,3.800644417,0,0,0,0,-4.605170186,100,-1
3.801314883,3.800644417,0,1,2,-0.000781905,4.605170186,100,1
3.8019849,3.800644417,0,1,2,0.000335177,-5.298317367,200,-1
3.802208139,3.800644417,0,0,0,0.000111701,-4.605170186,100,-1
3.801761611,3.800867956,0,0,0,-0.000111701,-4.605170186,100,-1
3.801538272,3.800867956,0,1,2,-0.000111713,4.605170186,100,1
3.802208139,3.801091445,0,1,2,0.000446778,-4.605170186,100,-1
3.802654468,3.801314883,0,1,2,0.000334952,-4.605170186,100,-1
3.803100598,3.801761611,0,1,2,0.000446429,-4.605170186,100,-1
3.803546529,3.802208139,0,0,0,0.000446229,4.605170186,100,1
3.803100598,3.802208139,0,0,0,-0.00022309,-4.605170186,100,-1
3.802654468,3.801538272,0,1,2,-0.000557942,4.605170186,100,1
3.805550761,3.803546529,0,1,1,0.002452621,-4.605170186,100,-1
3.805550761,3.803546529,0,1,2,0,-4.605170186,100,-1
3.805328267,3.804215053,0,1,1,0.000222668,-4.605170186,100,-1
3.805328267,3.804215053,0,0,0,0,4.605170186,100,1
3.80488313,3.804437795,0,1,2,-0.000111328,4.605170186,100,1
3.805995601,3.80488313,0,0,0,0.000779033,-4.605170186,100,-1
3.805328267,3.805105723,0,1,2,-0.000222519,6.684611728,800,1
3.805995601,3.80488313,0,1,1,0.000222519,-4.605170186,100,-1
3.805995601,3.80488313,0,1,1,0,-4.605170186,100,-1
3.805995601,3.80488313,0,1,2,0,-4.605170186,100,-1
3.805995601,3.805328267,0,1,1,0.000222469,-4.605170186,100,-1
3.805995601,3.805328267,0,1,1,0,-4.605170186,100,-1
3.805995601,3.805328267,0,0,0,0,-4.605170186,100,-1
3.805550761,3.805105723,0,0,0,-0.000333723,4.605170186,100,1
3.805105723,3.80488313,0,1,1,-0.000333834,4.605170186,100,1
3.805105723,3.80488313,0,0,0,0,4.605170186,100,1
3.80488313,3.803992261,0,1,2,-0.000556638,4.605170186,100,1
3.805105723,3.804215053,0,0,0,0.000222692,-4.605170186,100,-1
3.804660487,3.804215053,0,1,2,-0.000222692,-4.605170186,100,-1
3.805105723,3.804215053,0,1,2,0.000222692,-4.605170186,100,-1
3.805328267,3.804215053,0,1,2,0.000111328,-4.605170186,100,-1
3.805328267,3.804660487,0,1,2,0.000222618,4.605170186,100,1
3.80666249,3.805550761,0,0,0,0.001112347,5.298317367,200,1
3.806217947,3.805328267,0,1,1,-0.000333574,-4.605170186,100,-1
3.806217947,3.805328267,0,1,2,0,-4.605170186,100,-1
3.806217947,3.805773206,0,1,1,0.000222395,6.551080335,700,1
3.806217947,3.805773206,0,1,2,0,4.605170186,100,1
3.807328934,3.806440243,0,1,1,0.000889087,-4.605170186,100,-1
3.807328934,3.806440243,0,1,1,0,-4.605170186,100,-1
3.807328934,3.806440243,0,1,1,0,-4.605170186,100,-1
3.807328934,3.806440243,0,1,2,0,-4.605170186,100,-1
3.807328934,3.806884687,0,1,1,0.000222148,4.605170186,100,1
3.807328934,3.806884687,0,0,0,0,4.605170186,100,1
3.807106835,3.806884687,0,1,1,-0.000111068,-4.605170186,100,-1
3.807106835,3.806884687,0,1,2,0,-4.605170186,100,-1
3.807328934,3.806884687,0,0,0,0.000111068,4.605170186,100,1
3.807106835,3.805995601,0,1,1,-0.000555463,4.605170186,100,1
3.807106835,3.805995601,0,0,0,0,4.605170186,100,1
3.80666249,3.805995601,0,1,2,-0.000222272,4.605170186,100,1
3.807106835,3.806440243,0,1,2,0.000444494,-4.605170186,100,-1
3.807994935,3.80666249,0,1,1,0.00055534,-4.605170186,100,-1
3.807994935,3.80666249,0,1,2,0,-5.298317367,200,-1
3.807550984,3.807328934,0,0,0,0.000111031,-4.605170186,100,-1
3.807550984,3.80666249,0,1,1,-0.00033313,4.605170186,100,1
3.807550984,3.80666249,0,1,1,0,4.605170186,100,1
3.807550984,3.80666249,0,1,1,0,4.605170186,100,1
3.807550984,3.80666249,0,1,1,0,4.605170186,100,1
3.807550984,3.80666249,0,0,0,0,5.991464547,400,1
3.807106835,3.806440243,0,0,0,-0.000333241,-4.605170186,100,-1
3.80666249,3.806217947,0,0,0,-0.000333352,5.991464547,400,1
3.806440243,3.805773206,0,0,0,-0.000333463,5.703782475,300,1
3.806217947,3.805773206,0,0,0,-0.000111179,4.605170186,100,1
3.806217947,3.805105723,0,0,0,-0.000333611,5.298317367,200,1
3.805550761,3.805105723,0,1,1,-0.000333723,4.605170186,100,1
3.805550761,3.805105723,0,1,1,0,-6.214608098,500,-1
3.805550761,3.805105723,0,1,2,0,-6.214608098,500,-1
3.805550761,3.805328267,0,0,0,0.000111253,4.605170186,100,1
3.805550761,3.805105723,0,0,0,-0.000111253,4.605170186,100,1
3.805328267,3.80488313,0,1,1,-0.000222544,5.298317367,200,1
3.805328267,3.80488313,0,0,0,0,5.298317367,200,1
3.805105723,3.804660487,0,0,0,-0.000222593,-5.703782475,300,-1
3.805105723,3.804437795,0,1,1,-0.000111315,5.991464547,400,1
3.805105723,3.804437795,0,0,0,0,-4.605170186,100,-1
3.804660487,3.804437795,0,0,0,-0.000222668,-4.605170186,100,-1
3.804660487,3.803992261,0,1,1,-0.000222717,-4.605170186,100,-1
3.804660487,3.803992261,0,0,0,0,-4.605170186,100,-1
3.804437795,3.803992261,0,0,0,-0.000111377,4.605170186,100,1
3.804215053,3.803546529,0,1,2,-0.000334206,-5.298317367,200,-1
3.805328267,3.80376942,0,0,0,0.0006683,-5.298317367,200,-1
3.804215053,3.803546529,0,1,1,-0.0006683,6.214608098,500,1
3.804437795,3.803323589,0,0,0,0,-4.605170186,100,-1
